text_clean	user.screen_name	unique_id	text_clean_english	text_clean_emojistranslated
ma i morti devono farlo lo stesso il vaccino?	diegosaccoman	L_146	but the dead have to do the same vaccine?	but the dead have to do the same vaccine?
Vaccini covid: in Piemonte superata la quota di 9 milioni di dosi somministrate  	RadioGoldAl	Y_134	Covid vaccines: in Piedmont the quota of 9 million doses administered has been exceeded	Covid vaccines: in Piedmont the quota of 9 million doses administered has been exceeded
Sputnik:Nel Lazio vaccinazione antinfluenzale obbligatoria da settembre  75	TommyBrain	D_334	Sputnik: Mandatory flu vaccination in Lazio since September 75	Sputnik: Mandatory flu vaccination in Lazio since September 75
Quasi due milioni di liguri hanno ricevuto la terza dose di vaccino anti-Covid 	Teleradiopace	CC_303	Almost two million Ligurians have received the third dose of the anti-Covid vaccine	Almost two million Ligurians have received the third dose of the anti-Covid vaccine
Vaccino Covid, il piano per gli under 65 in Liguria: chi potrà riceverlo e come prenotarsi 	bizcommunityit	N_31	Covid vaccine, the plan for the under 65s in Liguria: who will be able to receive it and how to book	Covid vaccine, the plan for the under 65s in Liguria: who will be able to receive it and how to book
 GORDON   Futura taglia media  2 mesi  Si affida vaccinato, microchippato con obbligo di castrazione Si trova in Calabria ma arriva in tutto il centro-nord Italia  ℹ️ Se interessati, inviare un messaggio di presentazione su WhatsApp al numero 3894470341 	annamariamoscar	II_316	GORDON Futura medium size 2 months He trusts vaccinated, microchipped with castration obligation It is located in Calabria but arrives in all of central-northern Italy ℹ️ If interested, send a presentation message on WhatsApp to number 3894470341	GORDON Futura medium size 2 months He trusts vaccinated, microchipped with castration obligation It is located in Calabria but arrives in all of central-northern Italy :information: If interested, send a presentation message on WhatsApp to number 3894470341
#Coronaviriusitalia ma io mi chiedo, se facciamo tutto sto casino per un virus con una mortalità bassa, mi immagino se dovesse uscire un virus mortale di cui non si è ancora trovato il vaccino...altro che fine del mondo	_Namjire_	B_168	#Coronaviriusitalia but I wonder, if we make all this mess for a virus with low mortality, I imagine if a deadly virus were to emerge for which the vaccine has not yet been found ... nothing but the end of the world	#Coronaviriusitalia but I wonder, if we make all this mess for a virus with low mortality, I imagine if a deadly virus were to emerge for which the vaccine has not yet been found ... nothing but the end of the world
Go un mal di testa assurdo credo per il vaccino e sto a letto e non riesco a fare nulla, arriva mia madre senza chiedermi come sto, vedendomi a letto mi urla MUOVI QUEL CULO, no ma grazie mamma	_CLALMIGHTY	Y_221	I have an absurd headache I think from the vaccine and I'm in bed and I can't do anything, my mother arrives without asking me how I am, seeing me in bed she yells at me MOVE THAT ASS, no but thanks mom	I have an absurd headache I think from the vaccine and I'm in bed and I can't do anything, my mother arrives without asking me how I am, seeing me in bed she yells at me MOVE THAT ASS, no but thanks mom
#obiang del #sassuolo sparito nel nulla dall'estate scorsa per #miocardite post #vaccino. Omertà assoluta del giornalismo. #calcio  PS non aveva il #covid	RitornoLuca	CC_21	#obiang from #sassuolo disappeared into thin air since last summer due to post #vaccine #myocarditis. Absolute omertà of journalism. #football PS he didn't have #covid	#obiang from #sassuolo disappeared into thin air since last summer due to post #vaccine #myocarditis. Absolute omertà of journalism. #football PS he didn't have #covid
Covid, più di 100 mila vaccini nelle farmacie  #Sicilia #LiveSicilia	LiveSicilia	CC_110	Covid, more than 100 thousand vaccines in #Sicily #LiveSicilia pharmacies	Covid, more than 100 thousand vaccines in #Sicily #LiveSicilia pharmacies
Ma che senso ha fare una mobilitazione nazionale per distribuire poche dosi di vaccino a tutte le regioni con una spesa enorme nel trasporto, sarebbe stato più logico aspettare l'arrivo di milioni di dosi e procedere ad una significativa distribuzione	upiacenti20	L_11	But what is the point of making a national mobilization to distribute a few doses of vaccine to all regions with a huge expense in transport, it would have been more logical to wait for the arrival of millions of doses and proceed with a significant distribution	But what is the point of making a national mobilization to distribute a few doses of vaccine to all regions with a huge expense in transport, it would have been more logical to wait for the arrival of millions of doses and proceed with a significant distribution
#Venezia, ULSS 3 Serenissima: #Vaccino #AstraZeneca, su prenotazione, anche agli ultraottantenni in buona salute nati fra il 1930 e il '37. 	colomb_luca	O_384	#Venice, ULSS 3 Serenissima: #AstraZeneca #Vaccine, by reservation, even to healthy over-80s born between 1930 and '37.	#Venice, ULSS 3 Serenissima: #AstraZeneca #Vaccine, by reservation, even to healthy over-80s born between 1930 and '37.
Un mio amico,medico fisiatra,davanti ad un caffè mi ha detto che ho sempre avuto ragione io, e di conseguenza i “novax”. Lui è stato costretto a vaccinarsi e si sente amareggiato e incaxxato per aver subito il ricatto. Imbarazzante,ho dovuto consolare un vax. #nessunacorrelazione	capuleti_giulia	HH_11	"A friend of mine, a physiatrist, over a coffee told me that I have always been right, and consequently the ""novax"". He was forced to get vaccinated and feels bitter and pissed off for being blackmailed. Embarrassing, I had to console a vax. #no correlation"	"A friend of mine, a physiatrist, over a coffee told me that I have always been right, and consequently the ""novax"". He was forced to get vaccinated and feels bitter and pissed off for being blackmailed. Embarrassing, I had to console a vax. #no correlation"
🚨 C'è anche dell'altro da tenere d'occhio: voi fregatevene, poi vi vorrò vedere con #Speranzaingalera ancora lì e la #TaskForce dimmerda chiudervi ancora e obbligarvi al #vaccino Sai come mi fregherò le mani 	eiopago1	FF_306	🚨 There's also something else to keep an eye on: you don't care, then I'll want to see you with #Speranzaingalera still there and the dimmerda #TaskForce to close you again and force you to the #vaccine You know how I'll rub my hands	:police_car_light: There's also something else to keep an eye on: you don't care, then I'll want to see you with #Speranzaingalera still there and the dimmerda #TaskForce to close you again and force you to the #vaccine You know how I'll rub my hands
